customer_id,song_id,score
O29219,3459,3
I50343,5326,4
N42888,236,5
F5740,724,4
K4115,8452,5
N19138,230,4
O7109,1247,2
J23614,1119,3
G29081,742,3
F47140,497,5
G23431,98,4
J44634,274,3
O5319,1081,4
O45699,8943,4
O41629,3657,2
F27540,58,5
H45532,8793,1
F51740,12,4
I19833,5827,5
J16254,1443,4
H47982,1693,3
N26388,1831,5
I6813,1742,3
N17348,252,4
G49621,1227,5
L25156,2782,5
J27894,2877,5
J11904,46,5
M12447,3489,3
L48836,247,4
H19382,1621,4
K8295,42,5
L5606,239,5
O24149,8100,5
H42682,2215,5
M47147,18,4
G50971,392,3
L34576,5463,5
F16330,871,5
K32905,4975,5
O11939,2081,3
M5597,508,3
K9805,5057,5
H9722,59,3
I18773,46,4
L18156,1432,2
O8169,38,5
G21711,24,5
M32667,1396,5
L35506,370,5
K46425,9146,3
M22487,104,3
G46151,3673,5
M23747,3642,4
H34262,1972,5
H12792,153,3
G53071,4409,4
I37593,13,4
G37701,269,4
M41387,606,3
I5823,1567,3
O29929,210,5
I6283,1256,4
M13847,137,2
K7535,117,4
K16465,148,3
N13958,2278,3
G36931,149,3
J29624,6387,5
G9741,60,4
L32446,1774,3
O44619,795,4
F11690,2252,3
H2962,4885,5
M11197,5997,4
G27611,5845,4
O27319,5849,4
F25070,3885,5
M12997,1821,3
H47232,2547,5
J12124,82,5
N43018,1961,5
O44529,197,5
F23530,2287,4
H20442,531,3
O22739,163,4
H44842,208,5
N35118,6977,5
H23922,118,4
H40092,613,4
J23364,8962,5
L50686,4466,5
L47476,2337,3
M5877,2177,3
N46348,3869,4
O34509,114,2
I2953,595,3
L38116,164,4
I14913,4038,5
F38670,5850,5
N51068,5836,4
K7205,2123,4
F11620,5002,3
H38342,2463,4
K11905,8543,5
N19858,3,4
M28387,132,5
H932,81,5
K53145,182,5
O11189,2302,1
G49491,1207,4
F51670,1789,4
F4470,47,4
H44852,3034,2
O15759,120,5
H36332,6201,4
F15490,245,4
H23272,220,3
K41735,446,4
F44110,8,4
H3312,30,3
G28241,8,3
O31789,695,4
N40348,4207,3
J47494,17,5
N35148,799,5
F21920,332,4
J7364,1055,4
O4269,1380,5
H20162,141,5
O27439,7863,2
G39191,421,2
G41751,1780,3
L12136,3874,3
K1505,436,5
O30599,602,5
L15336,2051,1
H41932,36,2
I28713,4477,5
M44487,2998,5
O35909,176,3
M27617,556,4
I17013,7406,4
H52682,1342,5
M34667,5393,5
K23535,4022,4
I50343,3023,4
N30818,4002,2
K30205,4636,4
G18331,1120,3
K45525,3455,4
O43709,4373,4
I11313,1664,4
O40469,1542,3
I50323,76,4
O18019,4112,5
F30940,3508,4
O35719,881,1
M19627,460,4
K17265,5798,5
N38718,5053,5
J30824,62,3
G50641,2680,4
G35321,4705,3
N38678,5207,3
F35600,1981,5
L48596,12,5
O44419,8346,4
F1920,1256,4
G34721,2740,3
H14402,715,3
F31160,64,4
I49393,3959,5
O39989,1867,3
J24624,2073,5
J8184,34,2
I16343,60,4
O34049,32,3
G50031,716,5
F17040,42,4
M20517,35,5
L5056,290,3
M19957,1327,5
L22266,2566,4
I44563,9763,2
I28273,2337,4
L45886,247,5
J3204,8882,4
H1402,115,2
M19307,2851,5
J41354,54,5
J30354,1853,4
H9802,122,3
J29144,903,4
J21784,7745,3
M43447,47,4
O41719,521,4
G25061,5312,4
N38658,7722,3
O45849,39,5
G18451,4,4
O26189,158,5
I22213,691,5
H48552,56,5
N52798,248,3
N31628,675,4
I53253,1294,3
N48688,1008,3
M7517,924,3
N38368,6849,5
J18124,264,2
G601,1195,5
N17178,3527,3
K35865,4769,2
F34670,582,4
F22890,1490,4
H23922,846,4
J11134,5212,5
H7792,2823,3
G22791,563,3
M16607,616,4
F34890,3937,5
M11387,263,5
I3983,2824,2
G35351,6186,3
L5616,152,4
I38563,5466,5
N28858,390,3
H20642,3927,5
L43646,73,4
I33813,7487,4
J28314,3117,3
I32063,5381,4
J48374,4190,2
N26828,648,1
I26173,3847,5
I4323,496,4
G11271,4612,4
J414,1040,2
J37264,1283,4
N24668,1160,5
N25328,12,5
N12358,2159,5
J22974,555,4
K39815,7,5
L43646,4140,2
G41581,2837,2
I53423,23,5
M39667,2082,5
I6853,4760,4
G28321,1359,2
O20129,370,3
F52710,550,2
G11031,317,4
J14074,1274,5
I20103,1376,4
I51213,35,3
M29577,119,1
O11049,492,3
L17346,256,4
O1799,2869,4
H36592,8942,5
M28727,2894,3
H7942,569,4
K25775,1091,4
H10072,1,4
M11747,3553,2
J25134,5932,4
H47542,54,5
G3441,1655,4
F30720,837,3
I44553,273,3
K43825,350,3
G45201,198,5
I20033,3634,5
J31064,2905,3
G44231,8044,3
M1807,209,5
H47542,1889,5
K12125,5045,3
L41006,6239,5
O17639,1141,5
G521,959,5
H6362,1152,4
K30385,370,4
G2501,284,5
O8239,72,5
H18592,2,3
K28585,7114,4
G5281,1227,3
H45332,3465,5
G34591,478,4
J39664,1048,4
K49295,207,5
O26879,6195,4
N14118,4807,4
F46460,6494,4
H13432,1033,4
M35607,258,5
O24769,219,5
G961,23,3
N27128,1020,5
O37179,45,5
I37593,6827,5
N19138,171,5
K49045,3013,4
N32728,101,4
O49129,1402,5
K43775,3142,3
K85,119,5
L41276,4198,3
O5519,98,5
M41807,6560,3
N14278,7286,4
F30,554,4
N11988,17,4
H50342,972,3
F43380,287,5
F29540,745,5
K7665,83,4
G9551,4693,5
L40796,1296,5
I37853,69,4
J34524,3058,3
N9178,2366,4
O48689,197,5
H19052,3114,5
L43476,2044,5
O44269,1318,4
O24599,6879,5
K34705,4732,1
H27772,6074,5
L49746,21,4
I47913,2,1
K8075,236,4
F29520,413,4
L46406,98,5
I34243,623,3
I22683,1121,4
M51277,89,5
G20851,8975,4
J51084,7246,4
K19225,2827,4
H8312,429,3
N24598,816,3
H20832,2513,5
K19345,1394,5
G33141,9196,3
L45386,192,3
H34612,3110,4
J31404,113,4
G1131,2747,3
K41295,56,3
L31706,225,4
N11228,1588,2
N42678,358,3
H5662,2126,3
O51879,2116,4
N10288,3267,5
F6140,201,4
F17370,1198,2
K14815,493,5
N17908,358,4
O24799,1675,3
H34862,4715,5
G44041,332,2
I36173,1092,4
F43890,6735,4
H11482,7158,5
H16472,734,4
M26577,4151,4
L17146,604,5
L76,16,1
H44842,350,5
M6327,2884,3
O29559,4131,3
L23746,3346,4
M17617,4091,5
